Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Current Price,TP1,TP2,SL,Exit Price,P&L
"CryptoReviewing","https://x.com/CryptoReviewing/status/1903502861473857880","2025-03-22T17:43:42.000Z","2025-03-22T17:43:42.000Z","Buy","INJ","injective-protocol","9.676051344709743","9.676051344709743","10.8","13.5","9.5","",""
"cryptostasher","https://x.com/cryptostasher/status/1903490587812143530","2025-03-22T16:54:55.000Z","2025-03-22T16:54:55.000Z","Buy","ZIG","zignaly","0.08086434676683898","0.08086434676683898","0.15","0.2","0.07","",""
"holdersignals","https://x.com/holdersignals/status/1903402288192061465","2025-03-22T11:04:03.000Z","2025-03-22T11:04:03.000Z","Buy","SLF","self-chain","0.2776523912066774","0.2776523912066774","0.35","0.55","0.22","",""
"cryptoo_doctor","https://x.com/cryptocevo/status/1903387204195377209","2025-03-22T10:04:07.000Z","2025-03-22T10:04:07.000Z","Buy","BTC","bitcoin","84009.532917822","84009.532917822","85500","88500","80000","",""
"holdersignals","https://x.com/holdersignals/status/1903181892637340070","2025-03-21T20:28:17.000Z","2025-03-21T20:28:17.000Z","Buy","AUCTION","auction","45.642670478442746","52.12864755666422","54","56.5","48.4","",""
"CryptoReviewing","https://x.com/CryptoReviewing/status/1903144087760367843","2025-03-21T17:58:03.000Z","2025-03-21T17:58:03.000Z","Buy","JASMY","jasmycoin","0.01369793053614254","0.01251722227596608","0.014","0.015","0.012","",""
"AltcoinSherpa","https://x.com/AltcoinSherpa/status/1903124620166697411","2025-03-21T16:40:42.000Z","2025-03-21T16:40:42.000Z","Hold","BTC","bitcoin","84270.84358966233","84270.84358966233","88000","90000","80000","",""
"CryptoReviewing","https://x.com/CryptoReviewing/status/1903116142543012088","2025-03-21T16:07:01.000Z","2025-03-21T16:07:01.000Z","Buy","RENDER","render-token","3.3260481383620086","3.3260481383620086","3.64","4.23","3.07","",""
"holdersignals","https://x.com/holdersignals/status/1903106761743274035","2025-03-21T15:29:44.000Z","2025-03-21T15:29:44.000Z","Buy","DEGO","dego-finance","1.8583458574689569","1.8583458574689569","1.945","2","1.75","",""
"AltcoinSherpa","https://x.com/AltcoinSherpa/status/1903105950472396993","2025-03-21T15:26:31.000Z","2025-03-21T15:26:31.000Z","Hold","LAYER","solayer","1.0738042252834605","1.0738042252834605","1","0.95","1.1","",""
